TimeStamp;2025-07-03 15-49-27
0.010;0.620000
0.020;0.620000
0.030;0.660000
0.040;0.660000
0.050;0.600000
0.060;0.680000
0.070;0.660000
0.080;0.580000
0.090;0.720000
0.100;0.700000
0.110;0.620000
0.120;0.600000
0.130;0.600000
0.140;0.660000
0.150;0.640000
0.160;0.620000
0.170;0.660000
0.180;0.640000
0.190;0.640000
0.200;0.660000
0.210;0.620000
0.220;0.640000
0.230;0.660000
0.240;0.660000
0.250;0.680000
0.260;0.600000
0.270;0.600000
0.280;0.660000
0.290;0.660000
0.300;0.660000
0.310;0.640000
0.320;0.640000
0.330;0.640000
0.340;0.620000
0.350;0.620000
0.360;0.640000
0.370;0.640000
0.380;0.660000
0.390;0.660000
0.400;0.620000
0.410;0.620000
0.420;0.620000
0.430;0.660000
0.440;0.640000
0.450;0.700000
0.460;0.700000
0.470;0.640000
0.480;0.600000
0.490;0.620000
0.500;0.620000
0.510;0.620000
0.520;0.660000
0.530;0.620000
0.540;0.600000
0.550;0.640000
0.560;0.620000
0.570;0.620000
0.580;0.580000
0.590;0.580000
0.600;0.640000
0.610;0.660000
0.620;0.620000
0.630;0.640000
0.640;0.580000
0.650;0.600000
0.660;0.640000
0.670;0.660000
0.680;0.660000
0.690;0.620000
0.700;0.600000
0.710;0.620000
0.720;0.640000
0.730;0.660000
0.740;0.640000
0.750;0.700000
0.760;0.640000
0.770;0.620000
0.780;0.620000
0.790;0.620000
0.800;0.620000
0.810;0.620000
0.820;0.640000
0.830;0.660000
0.840;0.640000
0.850;0.640000
0.860;0.660000
0.870;0.640000
0.880;0.640000
0.890;0.660000
0.900;0.660000
0.910;0.640000
0.920;0.600000
0.930;0.620000
0.940;0.640000
0.950;0.640000
0.960;0.680000
0.970;0.660000
0.980;0.680000
0.990;0.620000
1.000;0.620000
1.010;0.620000
1.020;0.580000
1.030;0.640000
1.040;0.660000
1.050;0.600000
1.060;0.620000
1.070;0.620000
1.080;0.620000
1.090;0.640000
1.100;0.640000
1.110;0.660000
1.120;0.660000
1.130;0.600000
1.140;0.660000
1.150;0.620000
1.160;0.640000
