TimeStamp;2025-07-03 16-06-05
0.010;0.660000
0.020;0.640000
0.030;0.640000
0.040;0.680000
0.050;0.580000
0.060;0.660000
0.070;0.640000
0.080;0.640000
0.090;0.620000
0.100;0.620000
0.110;0.580000
0.120;0.640000
0.130;0.580000
0.140;0.580000
0.150;0.620000
0.160;0.660000
0.170;0.680000
0.180;0.680000
0.190;0.620000
0.200;0.620000
0.210;0.640000
0.220;0.600000
0.230;0.600000
0.240;0.640000
0.250;0.640000
0.260;0.580000
0.270;0.640000
0.280;0.680000
0.290;0.620000
0.300;0.620000
0.310;0.560000
0.320;0.620000
0.330;0.600000
0.340;0.580000
0.350;0.600000
0.360;0.600000
0.370;0.600000
0.380;0.660000
0.390;0.640000
0.400;0.620000
0.410;0.680000
0.420;0.640000
0.430;0.620000
0.440;0.620000
0.450;0.600000
0.460;0.660000
0.470;0.660000
0.480;0.680000
0.490;0.700000
0.500;0.620000
0.510;0.660000
0.520;0.680000
0.530;0.640000
0.540;0.720000
0.550;0.680000
0.560;0.640000
0.570;0.600000
0.580;0.600000
0.590;0.680000
0.600;0.600000
0.610;0.680000
0.620;0.620000
0.630;0.660000
0.640;0.660000
0.650;0.660000
0.660;0.600000
0.670;0.680000
0.680;0.640000
0.690;0.640000
0.700;0.620000
0.710;0.700000
0.720;0.600000
0.730;0.580000
0.740;0.660000
0.750;0.680000
0.760;0.660000
0.770;0.620000
0.780;0.660000
0.790;0.620000
0.800;0.620000
0.810;0.620000
0.820;0.620000
0.830;0.600000
0.840;0.640000
0.850;0.600000
0.860;0.680000
0.870;0.580000
0.880;0.600000
0.890;0.600000
0.900;0.720000
0.910;0.720000
0.920;0.620000
0.930;0.660000
0.940;0.720000
0.950;0.680000
0.960;0.560000
0.970;0.660000
0.980;0.620000
0.990;0.640000
1.000;0.640000
1.010;0.680000
1.020;0.680000
1.030;0.640000
1.040;0.680000
1.050;0.680000
1.060;0.680000
1.070;0.680000
1.080;0.580000
1.090;0.580000
1.100;0.600000
1.110;0.600000
1.120;0.620000
1.130;0.620000
1.140;0.600000
1.150;0.680000
1.160;0.580000
1.170;0.640000
1.180;0.560000
1.190;0.580000
1.200;0.520000
1.210;0.640000
1.220;0.580000
1.230;0.600000
1.240;0.600000
1.250;0.580000
1.260;0.660000
1.270;0.620000
1.280;0.680000
1.290;0.640000
1.300;0.660000
1.310;0.620000
1.320;0.600000
1.330;0.620000
1.340;0.660000
1.350;0.660000
1.360;0.660000
1.370;0.720000
1.380;0.620000
1.390;0.700000
1.400;0.660000
1.410;0.660000
1.420;0.580000
1.430;0.680000
1.440;0.660000
1.450;0.660000
1.460;0.660000
1.470;0.700000
1.480;0.740000
1.490;0.580000
1.500;0.680000
1.510;0.660000
1.520;0.720000
1.530;0.660000
1.540;0.660000
1.550;0.640000
1.560;0.700000
1.570;0.700000
1.580;0.640000
1.590;0.680000
1.600;0.640000
1.610;0.620000
1.620;0.660000
1.630;0.680000
1.640;0.600000
1.650;0.600000
1.660;0.600000
1.670;0.620000
1.680;0.620000
1.690;0.580000
1.700;0.680000
1.710;0.560000
1.720;0.580000
1.730;0.560000
1.740;0.680000
1.750;0.600000
1.760;0.640000
1.770;0.580000
1.780;0.680000
1.790;0.680000
1.800;0.680000
1.810;0.660000
1.820;0.660000
1.830;0.640000
1.840;0.640000
1.850;0.600000
1.860;0.600000
1.870;0.700000
1.880;0.640000
1.890;0.680000
1.900;0.680000
1.910;0.640000
1.920;0.660000
1.930;0.660000
1.940;0.660000
1.950;0.680000
1.960;0.680000
1.970;1.020000
1.980;1.120000
1.990;1.260000
2.000;1.380000
2.010;1.380000
2.020;1.340000
2.030;1.560000
2.040;1.680000
2.050;1.800000
2.060;1.800000
2.070;1.880000
2.080;1.860000
2.090;1.780000
2.100;1.920000
